qw,qx,qy,qz,x,y,z
0,1,0,0,0,0,0
6.62098e-17,1,3.79054e-17,8.28249e-18,0.645585,-0.739875,0.189219
0.00155759,0.999997,0.00168959,0.00116891,0.0746688,-0.467608,-0.587798
-0.31369,-0.000882194,-0.201997,0.927791,0.238606,-0.953511,1.0656
-0.313494,-0.00216003,-0.202599,0.927723,0.726939,-1.16548,1.91348
-0.312821,-0.00414883,-0.203568,0.927732,0.229866,-1.38539,2.74348
-0.31191,-0.00535471,-0.205491,0.927608,0.763415,-1.55561,3.57907
-0.310507,-0.00879143,-0.207254,0.927661,0.582719,-1.98756,4.44945
-0.308792,-0.012901,-0.204984,0.928689,0.86337,-1.73839,3.51326
-0.308644,-0.015413,-0.205366,0.928615,0.650755,-1.51125,2.56317
-0.307721,-0.0184544,-0.207081,0.928485,0.497548,-1.91122,3.45791
0.576986,0.528308,-0.619804,0.0618096,4.43882,0.59158,1.76674
0.580156,0.527168,-0.617881,0.0611187,4.99385,0.39459,2.55059
0.58254,0.526495,-0.616149,0.0617176,5.34581,0.130637,3.42261
0.585472,0.525521,-0.614291,0.0608043,4.74403,0.342253,2.63394
0.588527,0.524914,-0.611625,0.0633688,4.80233,0.107759,3.55853
0.700346,-0.498731,0.198129,-0.470668,-3.73008,2.81681,4.7697
0.703271,-0.494355,0.200189,-0.47005,-4.24052,2.95835,3.94003
0.703271,-0.494355,0.200189,-0.47005,-3.24052,2.95835,3.94003
0.703345,-0.492972,0.200372,-0.471312,-3.64403,2.75884,4.83565
0.703181,-0.491972,0.200932,-0.472363,-3.1586,2.93863,3.98272
0.391391,0.768969,-0.348553,-0.366073,2.44167,-4.6994,3.80156
0.390683,0.770614,-0.348561,-0.363354,2.29166,-4.48272,2.82896
0.391615,0.77131,-0.347654,-0.36174,2.41111,-4.68094,3.79346
0.391923,0.771656,-0.347383,-0.360927,1.92641,-4.57157,2.92557
0.392254,0.771863,-0.347125,-0.360373,2.54691,-4.73196,3.69481
0.392965,0.772146,-0.346675,-0.359425,3.08014,-5.0995,4.45892
0.392965,0.772146,-0.346675,-0.359425,4.08014,-5.0995,4.45892
0.390054,0.770518,-0.349714,-0.363127,4.97831,-5.16393,4.77129
-0.33497,0.330861,0.781368,-0.409622,6.42175,5.07655,-4.31452
